kanji, hanViet,
握,ÁC,
扱,TRÁP,
依,Ỷ,
偉,VĨ,
威,UY,
為,VI,
維,DUY,
緯,VĨ,
違,VI,
壱,NHẤT,
稲,ĐẠO,
芋,DỤ,
陰,ÂM,
隠,ẨN,
影,ẢNH,
鋭,NHUỆ,
越,VIỆT,
援,VIỆN,
煙,YÊN,
縁,DUYÊN,
鉛,DUYÊN,
汚,Ô,
奥,ÁO,
押,ÁP,
憶,ỨC,
暇,HẠ,
箇,CÁ,
菓,QUẢ,
雅,NHÃ,
介,GIỚI,
壊,HOẠI,
戒,GIỚI,
皆,GIAI,
獲,HOẠCH,
較,GIẢO,
刈,NGẢI,
乾,CAN,
勧,KHUYẾN,
歓,HOAN,
汗,HÃN,
環,HOÀN,
甘,CAM,
監,GIÁM,
鑑,GIÁM,
含,HÀM,
奇,KỲ,
幾,CƠ,
祈,KÌ,
輝,HUY,
鬼,QUỶ,
儀,NGHI,
戯,HÍ,
詰,CẬT,
却,KHƯỚC,
脚,CƯỚC,
丘,KHÂU,
及,CẬP,
朽,HỦ,
巨,CỰ,
拠,CỨ,
距,CỰ,
凶,HUNG,
叫,KHIẾU,
恐,KHỦNG,
況,HUỐNG,
狂,CUỒNG,
狭,HIỆP,
響,HƯỞNG,
驚,KINH,
仰,NGƯỠNG,
駆,KHU,
屈,KHUẤT,
掘,QUẬT,
繰,SÀO,
傾,KHUYNH,
恵,HUỆ,
継,KẾ,
迎,NGHÊNH,
撃,KÍCH,
兼,KIÊM,
剣,KIẾM,
圏,QUYỂN,
堅,KIÊN,
肩,KIÊN,
軒,HIÊN,
遣,KHIỂN,
玄,HUYỀN,
枯,KHÔ,
誇,KHOA,
鼓,CỔ,
互,HỖ,
御,NGỰ,
恒,HẰNG,
抗,KHÁNG,
攻,CÔNG,
更,CANH,
稿,CẢO,
荒,HOANG,
項,HẠNG,
豪,HÀO,
腰,YÊU,
込,NHẬP,
婚,HÔN,
鎖,TỎA,
彩,THÁI,
歳,TUẾ,
載,TẢI,
剤,TỄ,
咲,TIẾU,
惨,THẢM,
伺,TỨ,
刺,THÍCH,
旨,CHỈ,
紫,TỬ,
脂,CHI,
雌,THƯ,
執,CHẤP,
芝,CHI,
斜,TÀ,
煮,CHỬ,
釈,THÍCH,
寂,TỊCH,
朱,CHU,
狩,THÚ,
趣,THÚ,
需,NHU,
秀,TÚ,
舟,CHU,
襲,TẬP,
柔,NHU,
獣,THÚ,
瞬,THUẤN,
旬,TUẦN,
盾,THUẪN,
巡,TUẦN,
召,TRIỆU,
床,SÀNG,
沼,CHIỂU,
称,XƯNG,
紹,THIỆU,
詳,TƯỜNG,
丈,TRƯỢNG,
畳,ĐIỆP,
飾,SỨC,
殖,THỰC,
触,XÚC,
侵,XÂM,
寝,TẨM,
慎,THẬN,
振,CHẤN,
浸,TẨM,
薪,TÂN,
震,CHẤN,
尋,TẦM,
尽,TẬN,
陣,TRẬN,
吹,XÚY,
澄,TRỪNG,
是,THỊ,
姓,TÍNH,
征,CHINH,
跡,TÍCH,
占,CHIẾM,
扇,PHIẾN,
鮮,TIÊN,
訴,TỐ,
僧,TĂNG,
燥,TÁO,
騒,TAO,
贈,TẶNG,
即,TỨC,
俗,TỤC,
耐,NẠI,
替,THẾ,
拓,THÁC,
沢,TRẠCH,
濁,TRỌC,
脱,THOÁT,
丹,ĐAN,
嘆,THÁN,
淡,ĐẠM,
端,ĐOAN,
弾,ĐẠN,
恥,SỈ,
致,TRÍ,
遅,TRÌ,
蓄,SÚC,
徴,TRƯNG,
跳,KHIÊU,
沈,TRẦM,
珍,TRÂN,
堤,ĐÊ,
抵,ĐỀ,
摘,TRÍCH,
滴,TRÍCH,
添,THIÊM,
殿,ĐIỆN,
吐,THỔ,
渡,ĐỘ,
途,ĐỒ,
奴,NÔ,
怒,NỘ,
倒,ĐẢO,
唐,ĐƯỜNG,
塔,THÁP,
桃,ĐÀO,
盗,ĐẠO,
到,ĐÁO,
踏,ĐẠP,
逃,ĐÀO,
透,THẤU,
闘,ĐẤU,
胴,ĐỖNG,
峠,ĐÈO,
突,ĐỘT,
曇,ĐÀM,
鈍,ĐỘN,
弐,NHỊ,
悩,NÃO,
濃,NỒNG,
杯,BÔI,
輩,BỐI,
拍,PHÁCH,
泊,BẠC,
薄,BẠC,
迫,BÁCH,
爆,BỘC,
髪,PHÁT,
罰,PHẠT,
抜,BẠT,
搬,BAN,
繁,PHỒN,
般,BAN,
販,PHIẾN,
範,PHẠM,
盤,BÀN,
彼,BỈ,
疲,BÌ,
被,BỊ,
避,TỴ,
尾,VĨ,
微,VI,
匹,THẤT,
描,MIÊU,
浜,TÂN,
敏,MẪN,
怖,BỐ,
敷,PHU,
普,PHỔ,
浮,PHÙ,
腐,HỦ,
膚,PHU,
賦,PHÚ,
舞,VŨ,
幅,PHÚC,
払,PHẤT,
噴,PHÚN,
柄,BÍNH,
壁,BÍCH,
舗,PHỐ,
捕,BỘ,
峰,PHONG,
抱,BÃO,
砲,PHÁO,
傍,BÀNG,
坊,PHƯỜNG,
帽,MẠO,
忙,MANG,
冒,MẠO,
肪,PHƯƠNG,
